slug,name,notes,productType,businessModel,uxMode,imageryUsage,colorStrategy,typographyTone,layoutDensity,surfaceDepth,themeMode,shapeLanguage,shadowStyle,contentFocus,motionUsage,primaryIntent
airbnb,Airbnb,"Airbnb's design exudes a warm, inviting atmosphere reminiscent of a travel magazine, with a clean white background and Rausch Red as the sole accent. The typography, featuring the custom Airbnb Cereal VF font, is expressive and approachable, utilizing rounded terminals to enhance the brand's welcoming ethos. The layout is balanced, allowing for generous whitespace that encourages leisurely browsing. The design operates in a light theme mode, with layered shadows providing depth and a tactile feel. Rounded shapes dominate the interface, contributing to a friendly and accessible user experience. Content is primarily presented through high-quality photography, making listings visually engaging and immersive.",marketplace,marketplace,browsingHeavy,imageFirst,singleAccent,expressive,balanced,layered,lightFirst,rounded,stacked,photography,medium,exploration
airtable,Airtable,"Airtable's design exudes a vibe of sophisticated simplicity, utilizing a clean white canvas paired with deep navy text and a vibrant blue accent. The color strategy is multi-accent, with a focus on usability and clarity. Typography employs the Haas font family, which is neutral and well-spaced, enhancing readability. The layout is balanced, providing a comfortable density of information without feeling cluttered. The theme is light-first, promoting a fresh and inviting atmosphere. Rounded shapes are prevalent, contributing to a friendly and approachable design language. Content is primarily presented through product screenshots, effectively showcasing functionality and user experience.",digital,saas,browsingHeavy,mixed,multiAccent,neutral,balanced,layered,lightFirst,rounded,subtle,productScreenshots,medium,trust
apple,Apple,"Apple's design exudes a premium, cinematic vibe, utilizing stark black and light gray backgrounds to create a dramatic contrast. The typography, anchored by the SF Pro typeface, is meticulously crafted for clarity and impact, with tight line heights enhancing the reading experience. The color strategy is minimalistic, featuring a single accent color, Apple Blue, which draws attention to interactive elements. The layout is sparse, allowing generous whitespace that emphasizes product photography, presented as the hero of each section. The theme is predominantly dark, enhancing the immersive experience, while the shape language favors pill-rounded elements for CTAs. Overall, the content is presented through high-quality photography, reinforcing the brand's focus on product excellence and trustworthiness.",physical,ecommerce,browsingHeavy,imageFirst,singleAccent,premium,sparse,flat,darkFirst,pill,subtle,photography,low,trust
bmw,BMW,"BMW's design system exudes precision and performance, with a dark-first theme that emphasizes sharp, angular shapes. The color strategy is single accent, utilizing BMW Blue sparingly for interactive elements. Typography is technical, featuring the proprietary BMWTypeNextLatin typeface, which maintains a dense layout with tight line-heights. The overall vibe is that of a luxury automotive showroom, with full-bleed photography creating a cinematic experience. Content is presented primarily through striking automotive photography, enhancing the brand's identity. The absence of shadows and the use of flat surfaces contribute to a clean, modern aesthetic, while the sharp corners reinforce the industrial design ethos. This cohesive approach ensures a strong brand presence across all digital touchpoints.",physical,other,browsingHeavy,imageFirst,singleAccent,technical,dense,flat,darkFirst,sharp,none,photography,low,trust
cal,Cal.com,"Cal.com embodies a clean, professional aesthetic with a monochrome color strategy that emphasizes boldness through contrast rather than color. The typography features a technical tone, utilizing Cal Sans for headings and Inter for body text, creating a clear hierarchy. The layout is balanced, with generous whitespace that enhances readability and user focus. The design employs a light-first theme mode, ensuring maximum contrast with a white background and near-black text. Shape language is predominantly pill-shaped, contributing to a modern feel. Content is presented primarily through product screenshots, showcasing the scheduling UI effectively without decorative elements, reinforcing the product's functionality and trustworthiness.",digital,saas,taskFocused,unknown,monochrome,technical,balanced,layered,lightFirst,pill,stacked,productScreenshots,low,trust
claude,Claude,"Claude's design exudes a warm, intellectual vibe, reminiscent of a literary salon. The color strategy employs a warm neutral palette with terracotta accents, creating a cozy atmosphere. Typography is expressive, featuring a custom serif typeface that enhances readability and adds character. The layout is balanced, with generous spacing that invites exploration. The theme alternates between light and dark modes, enhancing visual interest and depth. Rounded shapes soften the interface, contributing to an approachable feel. Content is presented through organic illustrations and product screenshots, emphasizing a human touch rather than a tech-centric approach. Overall, the design fosters a sense of trust and companionship.",digital,ai,browsingHeavy,mixed,multiAccent,expressive,balanced,layered,dual,rounded,ring,illustration,low,emotionalBranding
clay,Clay,"Clay's design exudes a warm, playful vibe, utilizing a palette of vibrant colors against a warm cream background. The typography, featuring the expressive Roobert font, adds a quirky character, while the layout maintains a balanced density that feels inviting. The design is light-first, enhancing the artisanal feel with rounded shapes and layered surfaces. Content is presented through a mix of illustrations and product screenshots, creating a dynamic visual experience. The playful hover animations and multi-layer shadows contribute to a tactile interaction, making the interface feel engaging and friendly. Overall, Clay's design strategy emphasizes emotional branding through its unique aesthetic and thoughtful details.",digital,saas,mixed,mixed,multiAccent,expressive,balanced,layered,lightFirst,mixed,stacked,mixed,medium,emotionalBranding
clickhouse,ClickHouse,"ClickHouse's design exudes a high-performance, technical vibe with a striking dark theme. The color strategy is centered around a single accent, neon yellow-green, which pops against a pure black background, creating a visually intense experience. Typography is bold and technical, utilizing heavy weights to convey strength and clarity. The layout is dense, packed with information, reflecting the product's data-centric nature. The theme is dark-first, enhancing focus on content while the sharp shape language adds a sense of precision. Content is primarily presented through code blocks, emphasizing the technical aspect of the product, with mixed imagery used to support the narrative. Overall, the design is a powerful representation of speed and performance, aimed at instilling trust in users.",digital,devtools,browsingHeavy,mixed,singleAccent,technical,dense,layered,darkFirst,sharp,unknown,codeFirst,low,trust
cohere,Cohere,"Cohere's design exudes a polished, enterprise-grade vibe, primarily utilizing a bright white canvas with cool gray accents. The typography features a dual-typeface system, combining a custom serif for headlines with a geometric sans for body text, creating a balance of authority and clarity. The color strategy is monochrome, with minimal use of purple accents, ensuring that any color used carries significant weight. The layout is balanced, with rounded cards that provide a soft, approachable feel. The theme is light-first, emphasizing clarity and professionalism. Content is presented through a mix of product screenshots and enterprise photography, enhancing the technical narrative without overwhelming the user. Overall, the design communicates trust and sophistication, appealing to a professional audience.",digital,ai,taskFocused,mixed,monochrome,technical,balanced,flat,lightFirst,mixed,none,productScreenshots,low,trust
coinbase,Coinbase,"Coinbase's design exudes a clean and trustworthy vibe, primarily utilizing a blue-and-white color palette that emphasizes financial reliability. The singular brand accent, Coinbase Blue, is complemented by a balanced use of white and near-black surfaces, creating a professional atmosphere. Typography is neutral, featuring a proprietary four-font system that enhances readability and hierarchy. The layout is balanced, with a flat surface depth that avoids overwhelming the user. The design adopts a light-first theme mode, with pill-shaped buttons that provide a friendly yet professional touch. Content is presented through a mix of product screenshots and clean typography, ensuring clarity and focus on the user experience. Overall, the design reflects a modern, user-centric approach to digital finance.",digital,fintech,browsingHeavy,mixed,singleAccent,neutral,balanced,flat,lightFirst,pill,none,productScreenshots,low,trust
composio,Composio,"Composio's design exudes a developer-centric vibe, characterized by a dark, almost pure-black interface that feels like a high-tech command center. The color strategy is monochrome, with electric cyan and cobalt used sparingly for emphasis, creating a striking contrast against the dark background. Typography is technical, featuring JetBrains Mono and abcDiatype, with tight line heights that enhance the dense layout. The theme is dark-first, reinforcing the developer aesthetic, while the sharp shape language adds a sense of precision. Content is primarily presented through code snippets and technical displays, with imagery used to support rather than dominate. Overall, the design balances minimalism with impactful visual elements, ensuring a focused user experience.",digital,devtools,taskFocused,mixed,monochrome,technical,dense,layered,darkFirst,sharp,unknown,codeFirst,low,trust
cursor,Cursor,"Cursor's design exudes a warm minimalism, utilizing a palette of off-white and warm browns that evoke a cozy, premium feel. The typography is rich, featuring a gothic sans-serif for headings, a serif for body text, and a monospace font for code, creating a layered depth. The layout is balanced, with a focus on spaciousness and warmth, while the light-first theme enhances readability. The shape language is predominantly pill-shaped, contributing to a friendly and approachable interface. Content is presented through a mix of code snippets and screenshots, emphasizing the product's functionality. Overall, the design feels inviting and sophisticated, appealing to developers and users alike.",digital,devtools,creationTool,mixed,multiAccent,premium,balanced,layered,lightFirst,pill,subtle,mixed,medium,trust
elevenlabs,ElevenLabs,"The overall vibe of ElevenLabs' design is one of restrained elegance, with a light-first theme that emphasizes a near-white canvas complemented by warm undertones. The color strategy employs a multi-accent approach, using soft grays and warm stone tones to create a welcoming atmosphere. Typography is premium, featuring light-weight headings that evoke a sense of ethereality, while body text is airy and well-spaced. The layout is balanced, providing ample whitespace that enhances readability and visual flow. The shape language is predominantly pill-shaped, contributing to a tactile quality in buttons and UI elements. Content is presented through a mix of product screenshots and illustrations, with a focus on audio waveform visualizations that highlight the brand's voice AI capabilities. The layered shadow style adds depth without overwhelming the design, maintaining a clean and sophisticated look.",digital,ai,mixed,mixed,multiAccent,premium,balanced,layered,lightFirst,pill,unknown,mixed,low,emotionalBranding
expo,Expo,"Expo's design exudes a premium, polished vibe with a light-first theme that emphasizes clarity and usability. The color strategy is strictly monochrome, utilizing a cool off-white background with black and blue-gray text, creating a clean and modern aesthetic. Typography is handled exclusively with the Inter typeface, featuring tight letter-spacing and large display sizes that enhance readability and impact. The layout is sparse, allowing for generous whitespace that gives each section a gallery-like feel. The shape language is predominantly pill-shaped, contributing to an approachable and friendly interface. Content is primarily presented through product screenshots, which provide vibrant color against the neutral backdrop, while illustrations are minimal. Overall, the design communicates confidence and sophistication, making it ideal for a developer-focused platform.",digital,devtools,browsingHeavy,imageFirst,monochrome,premium,sparse,flat,lightFirst,pill,subtle,productScreenshots,low,trust
figma,Figma,"Figma's design system exudes a sophisticated and modern vibe, primarily utilizing a black-and-white interface with vibrant gradients in product showcases. The color strategy is gradient-led, emphasizing the colorful outputs of the tool rather than the interface itself. Typography is expressive, featuring a custom variable font that allows for nuanced weight variations, enhancing visual hierarchy. The layout is balanced, providing ample whitespace that creates a gallery-like feel, while the flat surface depth keeps the focus on content. The theme mode is light-first, with a pill shape language that adds a friendly touch to buttons and interactive elements. Content is presented through product screenshots, showcasing the tool's capabilities in a visually engaging manner, supported by subtle motion effects that enhance user experience.",digital,devtools,creationTool,mixed,gradientLed,expressive,balanced,flat,lightFirst,pill,subtle,productScreenshots,medium,exploration
framer,Framer,"Framer's design system embodies a dark-first aesthetic, utilizing pure black as the primary canvas, which creates a striking contrast with the Framer Blue accent. Typography is technical, featuring GT Walsheim with extreme negative letter-spacing, enhancing the compressed and kinetic feel of the text. The layout is dense, with tightly packed elements that float in generous whitespace, emphasizing the product's functionality. The shape language is pill-shaped, ensuring all interactive elements are soft and inviting. Content is presented primarily through product screenshots, showcasing the tool's capabilities directly. The overall vibe is confident and sophisticated, appealing to designers who appreciate craft and precision. The use of subtle ring shadows adds depth without overwhelming the minimalist design.",digital,saas,creationTool,imageFirst,singleAccent,technical,dense,flat,darkFirst,pill,ring,productScreenshots,medium,trust
hashicorp,HashiCorp,"HashiCorp's design system embodies a duality of light and dark modes, creating a sophisticated yet approachable atmosphere. The color strategy employs a multi-accent approach, with distinct product colors that enhance brand identity while maintaining a cohesive overall palette. Typography is technical, utilizing a custom font with dense, authoritative headings that convey enterprise confidence. The layout is dense, with subtle depth achieved through micro-shadows, ensuring clarity without overwhelming the user. The theme operates in dual mode, balancing clean white sections with dramatic dark hero areas. The shape language is sharp, reflecting a modern aesthetic, while content is presented through a mix of illustrations and product screenshots, enhancing user engagement and understanding.",mixed,devtools,mixed,mixed,multiAccent,technical,dense,subtle,dual,sharp,subtle,mixed,low,trust
ibm,IBM,"IBM's design system exudes a corporate precision with a stark duality of light and dark themes. The color strategy is anchored by a single accent, IBM Blue 60, against a predominantly monochrome palette. Typography is technical, utilizing IBM Plex Sans and Mono, with a focus on clarity and readability. The layout is dense, reflecting a productive density that aligns with enterprise needs. The theme mode alternates between light and dark, enhancing usability across contexts. Shape language is sharp, with a flat design philosophy that avoids shadows, emphasizing a clean aesthetic. Content is presented through a mix of code and imagery, reinforcing the technical focus while maintaining visual engagement.",digital,other,browsingHeavy,mixed,singleAccent,technical,dense,flat,dual,sharp,none,codeFirst,low,trust
intercom,Intercom,"Intercom's design exudes a warm and confident vibe, utilizing a light color palette dominated by warm off-white and off-black. The typography is technical, featuring the custom Saans font with aggressive negative letter-spacing, creating a precise and engineered feel. The layout is balanced, ensuring content is easily digestible without feeling cluttered. The theme is light-first, enhancing readability and user comfort. Sharp shapes dominate the design, particularly in buttons, which have a near-rectangular form with a subtle hover effect. Content is presented through a mix of code snippets and illustrations, reinforcing the technical nature of the platform. Overall, the design communicates trust and professionalism, aligning with its AI-first helpdesk identity.",digital,ai,taskFocused,mixed,singleAccent,expressive,balanced,flat,lightFirst,sharp,none,mixed,medium,trust
kraken,Kraken,"Kraken's design exudes a clean and trustworthy vibe, primarily utilizing a light theme with white backgrounds and a striking purple color palette. The use of rounded shapes, particularly in buttons, adds a friendly touch while maintaining professionalism. Typography is technical, featuring a dual font system that balances display and UI needs effectively. The layout is balanced, ensuring content is presented clearly without overwhelming the user. Subtle shadows enhance depth without being intrusive. Imagery is mixed, incorporating product screenshots to showcase functionality, aligning with the overall goal of building trust. The design's multi-accent color strategy allows for visual interest while maintaining brand consistency.",digital,fintech,browsingHeavy,mixed,multiAccent,technical,balanced,subtle,lightFirst,rounded,subtle,productScreenshots,medium,trust
linear,Linear,"Linear's design exudes a sleek, dark aesthetic that emphasizes precision and clarity. The color strategy is predominantly monochromatic with a single accent color, creating a sophisticated and focused visual experience. Typography is technical, utilizing the Inter Variable font with specific OpenType features for a clean, geometric look. The layout is balanced, ensuring that content is easily digestible without feeling cluttered. The theme is dark-first, enhancing the overall mood and making the interface feel immersive. Rounded shapes are used throughout, softening the visual impact while maintaining a modern feel. Content is primarily presented through product screenshots, effectively showcasing the software's functionality in a visually appealing manner.",digital,saas,taskFocused,mixed,singleAccent,technical,balanced,layered,darkFirst,mixed,stacked,productScreenshots,medium,trust
lovable,Lovable,"Lovable's design exudes warmth and approachability, utilizing a creamy background that sets a cozy tone. The color strategy employs a multi-accent approach, with a focus on soft, neutral tones that enhance readability. Typography is expressive, featuring the Camera Plain Variable typeface, which adds a human touch with its rounded forms. The layout is balanced, providing ample whitespace that invites exploration without feeling sparse. The design operates in a light-first theme mode, creating a bright and inviting atmosphere. Rounded shapes dominate the interface, contributing to a friendly vibe. Content is presented through a mix of illustrations and photography, enhancing the emotional connection with users. Overall, the design feels cohesive and thoughtfully crafted, aiming to foster trust and engagement.",digital,ai,mixed,mixed,multiAccent,expressive,balanced,subtle,lightFirst,rounded,subtle,illustration,medium,emotionalBranding
minimax,MiniMax,"MiniMax's design exudes a clean, approachable vibe with a light-first theme that emphasizes white space. The color strategy employs vibrant gradients and a multi-accent palette, making product cards visually striking against the pure white background. Typography is expressive, utilizing a multi-font system that enhances readability and engagement. The layout is balanced, providing a comfortable density that invites exploration without overwhelming the user. The shape language features pill buttons and rounded cards, contributing to a friendly aesthetic. Content is primarily presented through colorful illustrations, showcasing AI capabilities in a gallery-like format. Subtle shadows add depth without detracting from the overall lightness of the design.",digital,ai,browsingHeavy,mixed,multiAccent,expressive,balanced,subtle,lightFirst,pill,subtle,illustration,medium,exploration
mintlify,Mintlify,"Mintlify's design exudes a calm and confident vibe, emphasizing clarity and legibility. The color strategy features a luminous white background with a soft green accent, creating a fresh and intelligent atmosphere. Typography is dominated by the Inter font family, which is technical and precise, while Geist Mono is reserved for code contexts. The layout is sparse, allowing for generous whitespace that enhances readability. The theme is light-first, with rounded shapes that soften the overall appearance. Content is presented through a mix of illustrations and product screenshots, supported by atmospheric gradient backgrounds that add depth without overwhelming the user. Overall, the design reflects a commitment to a superior developer experience.",digital,devtools,docsHeavy,mixed,gradientLed,technical,sparse,flat,lightFirst,pill,subtle,illustration,low,trust
miro,Miro,"Miro's design exudes a clean and collaborative vibe, emphasizing visual thinking through a predominantly white canvas and pastel accents. The color strategy employs a multi-accent approach, utilizing a range of soft hues like coral and teal to enhance user engagement. Typography is expressive, featuring Roobert PRO Medium for headings and Noto Sans for body text, creating a modern and approachable feel. The layout is balanced, with generous whitespace that allows for easy navigation and comprehension. The design is light-first, promoting a bright and airy atmosphere. Rounded shapes are prevalent, contributing to a friendly and inviting interface. Content is presented through a mix of illustrations and interactive elements, ensuring a dynamic user experience. Overall, the design reflects a thoughtful blend of aesthetics and functionality, aimed at fostering collaboration.",digital,saas,mixed,mixed,multiAccent,expressive,balanced,subtle,lightFirst,rounded,ring,illustration,medium,exploration
mistral.ai,Mistral AI,"Mistral AI's design exudes a warm, inviting atmosphere with a golden-amber color palette that evokes late-afternoon light. The typography is bold and expressive, featuring massive headlines that create a striking visual impact. The layout is balanced, allowing for generous whitespace that enhances readability while maintaining a layered depth through warm shadows. The theme is light-first, with sharp, architectural shapes that contrast with the warmth of the colors. Content is primarily presented through dramatic landscape photography, reinforcing the brand's identity. The overall vibe is confident and luxurious, reminiscent of European design aesthetics, making it feel less like a tech company and more like a premium brand.",digital,ai,mixed,mixed,gradientLed,expressive,balanced,layered,lightFirst,sharp,stacked,photography,medium,emotionalBranding
